node_id,name,school,major,military_unit,degree,betweenness_rank,community,unit731
n2914,富士 貞吉,Kyoto Imperial University,hygiene,Unknown,17,345,6,0
n2927,藤生 太郎,Kyoto Imperial University,Obstetrics and gynecology,"Affiliated Hospital, National Shimonoseki Hospital",29,48,8,0
n2948,藤浪 得二,Kyoto Imperial University,dermatology,Unknown,14,146,8,0
n2951,藤野 恒三郎,Osaka Medical University,bacteriology,Unknown,26,277,0,0
n2957,藤巻 茂夫,Niigata Medical University,pathology,Unknown,25,329,7,1
n2962,藤本 憲司,Tokyo Imperial University,orthopedic surgery,affiliated hospital,49,58,8,0
n2965,藤森 速水,Kyoto Imperial University,Obstetrics and gynecology,affiliated hospital,43,52,8,0
n2971,藤原 慶一郎,Tohoku Imperial University,"Internal medicine, pediatrics, medical politician",Unknown,101,72,4,0
n3027,細川 修治,Osaka Higher Medical College,pathology,Unknown,25,330,7,0
n3030,細川 一,Tokyo Imperial University,Internal medicine,"Basic Fertilizer Agochi Hospital, Minamata Factory Hospital",85,191,4,0
n3036,細見 憲,Kyushu Imperial University,surgery,"Army Medical College, Southern Military First Hospital",62,35,1,0
n3038,細谷 英吉,Keio University,pharmacology,Unknown,5,410,15,0
n3039,細谷 省吾,Tokyo Imperial University,bacteriology,Unknown,26,278,0,0
n3052,堀井 三津夫,Kyoto Imperial University,tuberculosis pathology,union hospital,1,411,2,0
n3055,堀内 一弥,Osaka Imperial University,hygiene,Unknown,17,346,6,0
n3057,堀内 利国,Kyoto Imperial University,army doctor,Army Medical College,15,258,0,0
n3070,本庄 一夫,Kyoto Imperial University,surgery,Unknown,49,245,1,0
n3097,前田 和三郎,Kyoto Imperial University,surgery,Tachikawa Hospital,49,246,1,0
n3102,牧内 正一,Osaka Medical University,ophthalmology,affiliated hospital,51,6,6,0
n3129,増田 正典,Kyushu Imperial University,Internal medicine,Unknown,85,192,4,0
n3133,桝屋 冨一,Kyushu Imperial University,Internal medicine,Unknown,85,193,4,0
n3161,松崎 義周,Keio University,parasitology,Unknown,7,412,12,0
n3180,松村 忠樹,Kyoto Imperial University,Pediatrics,affiliated hospital,46,74,8,0
n3182,松村 義寛,Tokyo Imperial University,"Biochemistry, Nutrition",Unknown,5,46,13,0
n3195,松本 稔,Tokyo Imperial University,virology,children's hospital,4,413,0,0
n3205,真鍋 嘉一郎,Tokyo Imperial University,Internal medicine,Unknown,85,194,4,0
n3221,丸山 博,Osaka Imperial University,hygiene,Unknown,17,347,6,0
n3235,三浦 豊彦,Nippon Medical University,hygiene,Unknown,17,348,6,0
n3243,三上 芳雄,Kumamoto Medical University,Forensic medicine,Unknown,4,414,14,0
n3247,三木 栄,Kyushu Imperial University,"Internal medicine, Medical history",Unknown,88,89,4,0
n3249,三木 良英,Tokyo Imperial University,Internal medicine,Imperial Guard Division,86,108,4,0
n3259,水上 哲次,Kanazawa Medical University,surgery,"Tuberculosis Research Institute Hospital, Kanazawa Red Cross Hospital",49,247,1,0
n3266,水谷 豊,Nagoya Medical University,ophthalmology,Unknown,21,315,6,0
n3271,水野 宏,Nagoya Medical University,public health,Unknown,3,415,10,0
n3275,水原 舜爾,Okayama Medical University,biochemistry,Unknown,3,416,13,0
n3278,水町 四郎,Tokyo Imperial University,orthopedic surgery,Kanto Rosai Hospital,22,128,8,0
n3281,御園生 圭輔,Tokyo Imperial University,Radiology,National Tokyo Daiichi Hospital,12,102,8,0
n3291,三井 但夫,Keio University,anatomy,Unknown,15,417,5,1
n3293,三井 幸彦,Tokyo Imperial University,ophthalmology,Unknown,21,316,6,0
n3296,満田 久敏,Osaka Imperial University,psychiatry,Unknown,19,288,7,0
n3303,南 熊太,Kumamoto Medical University,ophthalmology,Unknown,21,317,6,0
n3321,宮内 義之介,Chiba Medical University,Forensic medicine,Unknown,4,418,14,0
n3325,宮川 正,Tokyo Imperial University,Radiology,Unknown,8,419,8,0
n3327,宮川 正澄,Nagoya Medical University,pathology,Unknown,25,331,7,0
n3335,三宅 清雄,Kyoto Prefectural University of Medicine,pathology,Unknown,25,332,7,0
n3349,宮崎 寛明,Tokyo Imperial University,dermatology,Unknown,14,147,8,0
n3358,宮地 韶太郎,Tohoku Imperial University,Radiology,Harbin City Hospital,8,420,8,0
n3364,宮田 重雄,Keio University,"Dermatology, Urology, Western painter","Tanashi Hospital, National Yokohama Hospital",22,126,8,0
n3368,宮本 璋,Osaka Imperial University,Internal medicine,"Ministry of Communications Kobe Teishin Hospital, Kobe Teishin Hospital",85,195,4,0
n3379,三輪 清三,Chiba Medical University,Internal medicine,"Affiliated Hospital, Kimitsu Central Hospital",95,63,4,0
n3383,向笠 広次,Kyushu Imperial University,psychiatry,Unknown,19,289,7,0
n3390,村形 友治,Hokkaido Imperial University,Ground Self-Defense Force medical officer,Japan Self-Defense Force Sapporo District Hospital,2,95,0,0
n3393,村上 勝美,Tokyo Imperial University,Pediatrics,affiliated hospital,46,75,8,0
n3403,村上 徳治,Kyoto Imperial University,surgery,"Army Medical College, Osaka Army Hospital, Shinkyo Daiichi Army Hospital",62,36,1,0
n3421,室橋 豊穂,Tokyo Imperial University,"Pediatrics, Bacteriology",Unknown,44,8,0,0
n3432,本島 一郎,Tokyo Imperial University,orthopedic surgery,Unknown,21,221,8,0
n3438,桃井 直幹,Tokyo Imperial University,Internal medicine,Army Medical College,98,11,4,0
n3447,森 富,Tohoku Imperial University,anatomy,Unknown,15,421,5,0
n3450,森 優,Kyushu Imperial University,anatomy,Unknown,15,422,5,0
n3457,森崎 半治,Nippon Medical University,"Dermatology, Urology",Karasuyama Hospital,22,127,8,0
n3467,森村 茂樹,Tokyo Imperial University,"medical education, psychiatry",Unknown,21,83,7,0
n3468,森本 潔,Kyoto Imperial University,Otorhinolaryngology,Nishinomiya Municipal Hospital,14,137,3,0
n3472,森安 信雄,Kyoto Prefectural University of Medicine,surgery,Unknown,49,248,1,0
n3475,諸富 武文,Nippon Medical University,"Orthopedics, Plastic surgery, Rheumatology",Unknown,21,222,8,0
n3477,矢追 秀武,Tokyo Imperial University,"Bacteriology, Virology",Unknown,30,44,0,0
n3478,矢数 道明,Tokyo Medical College,"Chinese herbalist, medical history",Unknown,6,302,4,0
n3488,八木沢 行正,Unknown,bacteriology,Unknown,26,279,0,0
n3493,八代 周二,Tokyo Imperial University,surgery,Unknown,49,249,1,0
n3496,安井 洋,Unknown,psychiatry,Imperial Guard Division,20,121,7,0
n3498,安澄 権八郎,Osaka Medical University,anatomy,Unknown,15,423,5,0
n3499,保田 岩夫,Kyoto Prefectural University of Medicine,orthopedic surgery,Kyoto Second Red Cross Hospital,21,223,8,0
n3501,安田 竜夫,Osaka Medical University,pathology,Unknown,25,333,7,0
n3508,柳浦 才三,Tokyo Medical University,pharmacology,Unknown,5,424,15,0
n3516,柳田 秀一,Okayama Medical University,"Internal medicine, pediatrics, politician",Unknown,101,73,4,0
n3555,山添 三郎,Niigata Medical University,biochemistry,Unknown,3,425,13,0
n3559,山田 憲吾,Kyoto Imperial University,orthopedic surgery,affiliated hospital,49,59,8,0
n3571,山田 守英,Hokkaido Imperial University,bacteriology,Unknown,26,280,0,0
n3575,山中 太木,Osaka Higher Medical College,"Bacteriology, Medical history",Unknown,32,41,0,1
n3579,山内 峻呉,Niigata Medical University,Forensic medicine,Unknown,4,426,14,0
n3583,山本 巖,Keio University,Anesthesiology,Unknown,4,352,1,0
n3602,湯浅 恭一,Jikei Medical University,"internal medicine, poet",Jusendo General Hospital,85,196,4,0
n3627,横山 正松,Niigata Medical University,physiology,Unknown,9,427,11,1
n3647,吉田 邦男,Osaka Imperial University,Pediatrics,affiliated hospital,46,76,8,0
n3650,吉田 貞雄,Higher Normal School,parasitology,Unknown,7,428,12,0
n3657,吉田 章信,Kyushu Imperial University,"Physiology, Physical education",Unknown,9,429,11,0
n3669,吉村 不二夫,Jikei Medical University,anatomy,Unknown,15,430,5,0
n3691,六反田 藤吉,Kumamoto Medical University,"Microbiology, Virology",Unknown,6,105,0,0
n3695,若月 俊一,Tokyo Imperial University,"community medicine, surgery",Prefectural Health and Welfare Federation Saku General Hospital,50,116,1,0
n3696,若林 修,Tokyo Imperial University,surgery,Unknown,49,250,1,0
n3701,脇坂 順一,Kyushu Imperial University,surgery,Unknown,49,251,1,0
n3711,和田 豊治,Hokkaido Imperial University,psychiatry,Unknown,19,290,7,0
n3713,和田 博夫,Kyushu Imperial University,"Orthopedics, Medical care for people with disabilities","National Tokyo Daiichi Hospital, Minamitama Orthopedic Hospital",24,101,8,0
n3716,和田 正久,Osaka Imperial University,Internal medicine,Unknown,85,197,4,0
n3723,渡辺 甲一,Tokyo Imperial University,Internal medicine,Army Medical College,98,12,4,0
n3725,渡辺 五郎,Showa Medical College,pathology,Unknown,25,334,7,0
n3731,渡辺 昇平,Nagoya Imperial University,surgery,"Nagoya National Hospital, Social Insurance Chukyo Hospital",49,252,1,0
n3732,渡辺 漸,Tokyo Imperial University,pathology,Unknown,25,335,7,0
n3733,渡辺 豊輔,Keio University,pathology,Tokyo Metropolitan Komagome Hospital,26,110,7,0
n3735,渡辺 真言,Keio University,"Internal medicine, medical politician",Unknown,85,198,4,0
n3737,渡辺 嶺男,Keijo Imperial University,hygiene,Unknown,17,349,6,0
n3741,綿貫 重雄,Chiba Medical University,surgery,National Narashino Hospital,49,253,1,0
n3742,綿貫 哲,Tokyo Imperial University,"Surgery, Anesthesiology",Unknown,52,114,1,0
n3767,天野道之助,Keio University,anesthesiology,Unknown,4,353,1,0
n3807,石川浩一,Tokyo Imperial University,surgery,Kanto Rosai Hospital,50,120,1,0
n3825,磯部美知,Jikei Medical College,parasitology,"National Charity Hospital, Taiwan Governor-General Hospital",7,431,12,0
n3838,伊藤司,Fukushima Medical University,anatomy,Unknown,15,432,5,0
n3844,稲田龍一,Tokyo Imperial University,Internal medicine,"Tokyo Metropolitan Hiroo Hospital, Tokyo Metropolitan Bokuto Hospital",85,199,4,0
n3847,犬伏康夫,Kyoto Imperial University,Pharmacy,Unknown,4,433,9,0
n3863,今村昌耕,Hokkaido Imperial University,tuberculosis pathology,Unknown,1,434,2,0
n3870,岩月賢一,Tokyo Imperial University,Surgery/Anesthesiology,Unknown,52,115,1,0
n3878,植松稔,Keio University,hygiene,Unknown,17,350,6,0
n3893,台弘,Tokyo Imperial University,psychiatry,"Matsuzawa Hospital, Affiliated Hospital",33,68,7,0
n3904,海老原勉,Showa Medical College,Pediatrics,Unknown,18,210,8,0
n3923,大西基四夫,Tohoku Imperial University,leprosy medical,Unknown,4,435,16,0
n3930,大藤重夫,Kyoto Imperial University,dermatology,Unknown,14,148,8,0
n3953,奥田六郎,Kyoto Imperial University,Pediatrics,affiliated hospital,46,77,8,0
n3961,小田徹也,Kyushu Imperial University,"Surgery, Nuclear Free Activist",Unknown,49,254,1,0
n3968,小原喜隆,Tokyo Imperial University,Otorhinolaryngology,"Kanto Telecommunications Hospital, Manchuria Dalian Hospital",14,138,3,0
n3971,恩地豊,Kyoto Imperial University,Otorhinolaryngology,Unknown,14,139,3,0
n3972,貝塚侊,Kyoto Prefectural University of Medicine,Otorhinolaryngology,Otsu Red Cross Hospital,14,436,3,1
n3996,加藤篤二,Kyoto Imperial University,urology,Unknown,11,153,8,0
n4005,釜洞醇太郎,Osaka Imperial University,virology,Unknown,4,437,0,0
n4021,川野正七,Nagasaki Medical University,Internal medicine,Unknown,85,200,4,0
n4046,木村忠司,Kyoto Imperial University,surgery,affiliated hospital,76,34,1,0
n4086,小竹英夫,Hokkaido Imperial University,"Internal medicine, Medical history",National Asahikawa Hospital,88,90,4,0
n4095,小張一峰,Chiba Medical University,infectious disease,"Tokyo Metropolitan Komagome Hospital, Affiliated Hospital",16,100,7,0
n4105,斎藤忠夫,Kyoto Imperial University,dermatology,Unknown,14,149,8,0
n4140,佐藤靖雄,Tokyo Imperial University,Otorhinolaryngology,Unknown,14,140,3,0
n4146,塩川優一,Tokyo Imperial University,"Internal medicine (collagen disease, rheumatology)",Unknown,85,201,4,0
n4159,柴田清人,Kyoto Imperial University,surgery,"Affiliated Hospital, Tajimi Municipal Hospital",64,9,1,0
n4174,新福尚武,Kyushu Imperial University,psychiatry,Unknown,19,291,7,0
n4201,関亮,Tokyo Medical College,ophthalmology,Koshigaya Hospital,21,318,6,0
n4207,曾根二郎,Tokyo Imperial University,Pharmacy,Unknown,4,438,9,0
n4217,高島文一,Kyoto Imperial University,"Internal medicine, Oriental medicine",Unknown,86,47,4,0
n4233,高橋博元,Tokyo Imperial University,urology,Unknown,11,154,8,0
n4237,高部益男,Tokyo Imperial University,Welfare administration,Unknown,11,362,10,0
n4239,高安正夫,Kyoto Imperial University,Internal medicine,National Kyoto Hospital,85,202,4,0
n4242,田口胤三,Tokyo Imperial University,Pharmacy,Unknown,4,439,9,0
n4291,柘植秀臣,Tohoku Imperial University,physiology,Unknown,9,440,11,0
n4318,徳臣晴比古,Kumamoto Medical University,Internal medicine,"Affiliated Hospital, Kumamoto Rosai Hospital",95,64,4,0
n4334,永井健児,Kyoto Prefectural University of Medicine,leprosy medical,Unknown,4,441,16,0
n4339,永江大助,Tokyo Imperial University,surgery,"Army Medical College, Hiroshima Army Hospital",62,37,1,0
n4390,西山敬三,Fukuoka Prefectural Medical and Dental College,dental,Hiroshima Red Cross Hospital,1,442,8,0
n4397,野口志郎,Showa Medical College,surgery,Noguchi Hospital,49,257,1,0
n4419,濱島義博,Kyoto Prefectural University of Medicine,"pathology, immunology",Unknown,27,29,7,0
n4425,林滋生,Yokohama City University,parasitology,Unknown,7,443,12,0
n4430,早田義博,Tokyo Medical College,"Surgery, Mountaineering Medicine",Unknown,50,94,1,0
n4431,原学郎,Tokyo Dental Specialist,conservative dentistry,affiliated hospital,31,155,8,0
n4439,東田敏夫,Kyoto Imperial University,hygiene,Unknown,17,351,6,0
n4450,廣戸幾一郎,Kyoto Imperial University,Otorhinolaryngology,Kokura Memorial Hospital,14,141,3,0
n4475,伏原春男,Kyoto Prefectural University of Medicine,Internal medicine,Public Nantan Hospital,85,203,4,0
n4549,三島四郎,Okayama Medical University,surgery,Okayama City Hospital,49,255,1,0
n4571,宮坂 忠夫,Hiroshima Medical College,public health,Unknown,3,444,10,0
n4588,村田 茂助,Chiba Medical University,bacteriology,Unknown,26,281,0,1
n4603,森川 和雄,Hokkaido Imperial University,pathology,Unknown,25,336,7,0
n4640,山田 尚達,Tokyo Imperial University,Pediatrics,Unknown,18,211,8,0
n4648,湯川 永洋,Osaka Imperial University,Internal medicine,"Osaka Gastrointestinal Hospital, Yukawa Gastrointestinal Hospital",85,204,4,0
n4681,渡部 智俱人,Lushun Medical College,"Dermatology, Urology, Obstetrics and Gynecology",Unknown,36,81,8,0
